VALP,BLD,PINCP,JWTR,JWMNP
6288000,02,20000,01,7
6288000,02,665000,01,10
480000,02,60000,01,40
480000,02,18000,01,40
480000,02,19400,01,30
490000,02,43090,01,20
490000,02,50000,01,45
490000,02,26000,01,10
320000,02,60000,01,45
320000,02,55000,01,60
320000,02,45000,01,60
750000,02,125000,01,45
400000,02,40000,01,10
6288000,02,80300,01,35
430000,02,26000,01,40
310000,05,111000,01,141
350000,02,34000,01,25
350000,02,29000,01,25
585000,02,13000,01,45
585000,02,118400,01,60
400000,03,7000,01,30
600000,02,90000,01,100
600000,02,70000,01,141
410000,02,52000,01,25
500000,02,45000,01,60
500000,02,21500,01,5
500000,02,35000,01,60
450000,02,17000,01,50
900000,02,110000,01,25
500000,02,80000,01,45
500000,02,50000,01,5
460000,02,25000,01,40
500000,02,88000,01,35
500000,02,40400,01,60
86000,02,10000,01,10
86000,02,40000,01,30
415000,02,38000,01,60
415000,02,25000,01,50
480000,02,100000,01,35
600000,02,182000,01,60
600000,02,75050,01,10
550000,07,200000,01,30
550000,07,45000,01,20
325000,02,96000,10,15
325000,02,25000,01,30
800000,07,50000,01,15
80000,01,15000,01,45
525000,02,30000,01,40
480000,02,45000,01,40
480000,02,35000,01,30
480000,02,35000,01,40
550000,02,150000,01,25
250000,02,57000,01,141
250000,02,28000,01,30
250000,02,11500,01,15
670000,02,70000,01,15
450000,02,20000,01,4
450000,02,60000,01,15
800000,02,150500,01,20
320000,02,35000,01,141
500000,02,60100,01,15
650000,02,34700,01,40
579000,02,30000,01,15
300000,07,3500,01,10
200000,02,1000,01,45
800000,02,48000,01,20
800000,02,48000,01,20
500000,02,46000,01,35
500000,02,30000,01,25
370000,02,72000,01,45
370000,02,48300,01,20
400000,02,49000,01,50
1700000,02,130000,01,15
675000,02,34800,01,25
675000,02,2400,01,60
675000,02,14000,01,25
500000,02,50000,01,80
500000,02,80000,01,45
440000,02,65000,01,70
440000,02,17000,01,40
400000,02,26400,01,20
400000,02,25200,01,20
400000,02,57000,01,20
400000,02,16000,01,20
400000,02,10000,01,15
400000,02,6700,01,15
700000,02,130000,12,90
700000,02,48000,01,60
700000,02,45000,01,20
700000,02,6000,01,15
390000,02,102000,01,90
390000,02,3600,01,15
550000,02,48000,01,60
550000,02,22000,02,40
550000,02,20000,01,20
400000,02,8000,01,20
400000,02,40000,01,10
400000,02,27500,01,20
2000000,02,6500,01,30
450000,02,110020,01,60
450000,02,50000,01,15
400000,02,37000,01,30
400000,02,20000,01,25
400000,02,35000,01,30
400000,02,24000,01,30
890000,02,119000,01,20
500000,02,80000,01,30
3750000,02,233000,01,15
500000,03,130000,01,30
500000,03,10000,01,40
650000,02,116500,08,40
650000,02,65000,01,35
900000,02,17000,01,50
600000,08,10100,01,10
515000,08,65110,01,30
900000,02,565000,01,20
6288000,02,-4800,09,45
700000,02,100000,01,75
700000,02,103600,01,10
289000,02,28400,01,10
1500000,02,122000,01,30
650000,02,46000,01,30
650000,02,47500,01,45
450000,09,58220,01,80
450000,09,114000,01,20
450000,09,16900,01,80
380000,03,11400,01,30
300000,02,35000,01,15
649000,02,45000,01,15
649000,02,70000,01,30
550000,02,57580,01,25
570000,02,109000,01,30
700000,02,60000,02,60
800000,02,126000,01,10
800000,02,120000,01,55
450000,06,189000,01,60
600000,05,52500,01,75
600000,05,20000,01,60
600000,05,3000,01,75
1500000,02,9000,01,75
450000,02,37000,01,50
450000,02,160000,01,30
450000,02,36000,01,35
450000,02,7000,01,25
450000,02,47000,01,45
450000,02,23000,01,60
300000,02,93000,01,20
1300000,02,260000,01,40
1300000,02,65000,01,30
500000,03,60000,01,20
500000,03,50000,01,141
500000,03,35000,01,45
240000,08,77700,01,45
10000,01,6000,01,25
28000,02,65000,01,35
28000,02,32000,01,45
600000,02,30000,01,30
600000,02,56000,01,10
450000,06,75000,01,30
4000,02,34000,01,10
385000,02,320000,01,13
675000,02,46000,09,10
500000,03,20000,02,60
500000,03,21000,01,45
500000,03,25000,01,15
500000,03,40000,01,20
220000,02,80000,01,60
103000,01,18300,01,15
103000,01,10800,01,40
680000,02,92000,01,55
680000,02,40000,01,35
850000,02,120000,01,30
850000,02,40000,01,45
500000,02,128000,01,60
2000000,02,98000,01,30
850000,02,52200,01,45
850000,02,45000,01,90
600000,02,52000,01,45
600000,02,3900,01,60
1400000,02,631000,01,60
620000,02,40000,01,45
850000,02,275700,01,70
800000,02,41000,01,10
800000,02,6000,01,20
800000,02,372000,01,40
500000,03,55000,01,45
500000,03,19200,01,20
620000,02,68000,01,50
500000,05,55000,01,40
590000,02,108000,02,75
650000,02,60900,01,20
650000,02,27000,01,30
450000,02,40000,01,45
450000,02,65000,01,141
800000,02,156000,01,50
250000,08,30000,01,60
250000,08,30000,01,10
500000,02,50000,01,30
459000,02,5300,01,15
459000,02,100000,01,15
500000,02,65000,01,40
400000,02,28000,01,15
400000,02,26000,01,15
400000,02,40000,01,45
400000,02,9000,01,10
600000,02,25300,01,40
600000,02,54000,01,30
600000,02,57000,01,20
800000,02,55000,01,25
400000,02,16000,01,40
380000,05,30000,01,15
700000,02,25000,01,60
460000,02,47480,01,15
575000,02,18000,01,30
575000,02,48500,01,20
300000,02,78200,01,75
300000,02,71000,01,75
300000,02,19000,01,50
1500000,02,570000,01,20
850000,02,89000,01,7
850000,02,48000,01,12
700000,02,45000,01,45
700000,02,30000,01,60
700000,02,30000,01,30
700000,02,40000,01,30
700000,02,55000,01,59
700000,02,40000,01,30
1000000,02,27000,01,15
1000000,02,150000,01,50
400000,05,60000,01,50
400000,05,60000,01,50
675000,02,9700,01,20
675000,02,20000,01,45
675000,02,7000,01,30
600000,02,120000,01,20
600000,02,14000,01,2
600000,02,8000,01,20
600000,02,3200,01,5
800000,02,48000,01,30
800000,02,33600,01,30
145000,02,7400,01,15
825000,02,90000,01,10
825000,02,60000,01,30
440000,02,73100,01,7
375000,02,54000,01,60
350000,02,40000,01,30
550000,02,48100,01,30
450000,02,24000,01,10
450000,02,40000,01,20
500000,03,40000,01,65
450000,02,26000,01,30
450000,02,12000,01,30
450000,02,120000,01,30
450000,02,32000,01,30
240000,02,34200,01,45
240000,02,45500,01,75
280000,02,18300,01,21
6288000,02,372000,01,22
635000,02,58000,01,40
600000,02,65850,01,10
600000,02,92000,01,25
600000,02,33000,01,12
415000,02,80000,01,25
700000,02,116900,01,40
